The Next 700 BFT Protocols.	Pierre-Louis Aublin,Rachid Guerraoui,Nikola Knezevic,Vivien Quéma,Marko Vukolic	10.1145/2658994
The Scalable Commutativity Rule: Designing Scalable Software for Multicore Processors.	Austin T. Clements,M. Frans Kaashoek,Nickolai Zeldovich,Robert Tappan Morris,Eddie Kohler	10.1145/2699681
Mechanistic Modeling of Architectural Vulnerability Factor.	Arun Arvind Nair,Stijn Eyerman,Jian Chen 0030,Lizy Kurian John,Lieven Eeckhout	10.1145/2669364
TaintDroid: An Information-Flow Tracking System for Realtime Privacy Monitoring on Smartphones.	William Enck,Peter Gilbert,Seungyeop Han,Vasant Tendulkar,Byung-Gon Chun,Landon P. Cox,Jaeyeon Jung,Patrick D. McDaniel,Anmol N. Sheth	10.1145/2619091
Market mechanisms for managing datacenters with heterogeneous microarchitectures.	Marisabel Guevara,Benjamin Lubin,Benjamin C. Lee	10.1145/2541258
Comprehensive formal verification of an OS microkernel.	Gerwin Klein,June Andronick,Kevin Elphinstone,Toby C. Murray,Thomas Sewell,Rafal Kolanski,Gernot Heiser	10.1145/2560537
Faults in Linux 2.6.	Nicolas Palix,Gaël Thomas 0001,Suman Saha 0002,Christophe Calvès,Gilles Muller,Julia Lawall	10.1145/2619090
Scaling Performance via Self-Tuning Approximation for Graphics Engines.	Mehrzad Samadi,Janghaeng Lee,Davoud Anoushe Jamshidi,Scott A. Mahlke,Amir Hormati	10.1145/2631913
Approximate Storage in Solid-State Memories.	Adrian Sampson,Jacob Nelson,Karin Strauss,Luis Ceze	10.1145/2644808
GPUfs: Integrating a file system with GPUs.	Mark Silberstein,Bryan Ford,Idit Keidar,Emmett Witchel	10.1145/2553081
Energy Analysis of Hardware and Software Range Partitioning.	Lisa Wu 0001,Orestis Polychroniou,Raymond J. Barker,Martha A. Kim,Kenneth A. Ross	10.1145/2638550
Optimizing the Block I/O Subsystem for Fast Storage Devices.	Youngjin Yu,Dongin Shin,Woong Shin,Nae Young Song,Jae-Woo Choi,Hyeong Seog Kim,Hyeonsang Eom,Heon Young Yeom	10.1145/2619092
