Quality of Experience Optimization in IoT Energy Services.	Amani Abusafia,Athman Bouguettaya,Abdallah Lakhdari	10.1109/ICWS55610.2022.00028
Density-Based Pruning of Drone Swarm Services.	Balsam Alkouz,Athman Bouguettaya,Abdallah Lakhdari	10.1109/ICWS55610.2022.00052
Cost-Aware Multidimensional Auto-Scaling of Service- and Cloud-Based Dynamic Routing to Prevent System Overload.	Amirali Amiri,Uwe Zdun,André van Hoorn,Schahram Dustdar	10.1109/ICWS55610.2022.00063
A DevSecOps-based Assurance Process for Big Data Analytics.	Marco Anisetti,Nicola Bena,Filippo Berto,Gwanggil Jeon	10.1109/ICWS55610.2022.00017
An Intelligent Data-Centric Web Crawler Service for API Corpus Construction at Scale.	Mehdi Assefi,Mehdi Bahrami,Sarthak Arora,Thiab R. Taha,Hamid R. Arabnia,Khaled M. Rasheed,Wei-Peng Chen	10.1109/ICWS55610.2022.00064
Knowledge Base 4.0: Using Crowdsourcing Services for Mimicking the Knowledge of Domain Experts.	Amin Beheshti	10.1109/ICWS55610.2022.00069
Call Limit-Based Composite Service Selection.	Karim Benouaret,Juba Agoun,Idir Benouaret,François Charoy	10.1109/ICWS55610.2022.00021
Temporal Match Analysis and Recommending Substitutions in Live Soccer Games.	Yuval Berman,Sajib Mistry,Joby Mathew,Aneesh Krishna	10.1109/ICWS55610.2022.00066
Joint Service Placement and Computation Scheduling in Edge Clouds.	Ran Bi,Ting Peng,Jiankang Ren,Xiaolin Fang,Guozhen Tan	10.1109/ICWS55610.2022.00022
CLOSED: A Cloud-Edge Dynamic Collaborative Strategy for Complex Event Detection.	Jian Cao 0001,He Huang,Shiyou Qian	10.1109/ICWS55610.2022.00025
Online Pricing-based Content Cache Trading for Multi-Provider Vehicular Networks.	Haowei Chen,Shuiguang Deng,Hongze Zhu,Cheng Zhang	10.1109/ICWS55610.2022.00058
Capturing Users&apos; Fresh Interests via Evolving Session-Based Social Recommendation.	Hongqi Chen,Zhiyong Feng 0002,Shizhan Chen,Xiao Xue,Hongyue Wu,Yingchao Sun,Yanwei Xu,Gaoyong Han	10.1109/ICWS55610.2022.00039
RuleCache: Accelerating Web Application Firewalls by On-line Learning Traffic Patterns.	Xiaoyi Chen,Qingni Shen,Peng Cheng 0005,Yongqiang Xiong,Zhonghai Wu	10.1109/ICWS55610.2022.00044
Deep Attentive Anomaly Detection for Microservice Systems with Multimodal Time-Series Data.	Yufu Chen,Meng Yan 0001,Dan Yang 0001,Xiaohong Zhang 0002,Ziliang Wang	10.1109/ICWS55610.2022.00062
A Blockchain-based Framework in Support of Privacy Preferences Enforcement for Scientific Workflows : (Invited Paper).	Federico Daidone,Barbara Carminati,Elena Ferrari	10.1109/ICWS55610.2022.00070
Online Learning Using Incomplete Execution Data for Self-Adaptive Service-Oriented Systems.	Niranjana Deshpande,Naveen Sharma,Qi Yu 0001,Daniel E. Krutz	10.1109/ICWS55610.2022.00051
BIECS: A Blockchain-based Intelligent Edge Cooperation System for Latency-Sensitive Services.	Xin Du,Xuzhao Chen,Zhihui Lu 0002,Qiang Duan,Yujie Wang,Jie Wu 0003	10.1109/ICWS55610.2022.00061
Phoebe: QoS-Aware Distributed Stream Processing through Anticipating Dynamic Workloads.	Morgan K. Geldenhuys,Dominik Scheinert,Odej Kao,Lauritz Thamsen	10.1109/ICWS55610.2022.00041
