Learning invariants using decision trees and implication counterexamples.	Pranav Garg 0001,Daniel Neider,P. Madhusudan,Dan Roth	10.1145/2837614.2837664
Principal type inference for GADTs.	Sheng Chen 0008,Martin Erwig	10.1145/2837614.2837665
Maximal specification synthesis.	Aws Albarghouthi,Isil Dillig,Arie Gurfinkel	10.1145/2837614.2837628
Type theory in type theory using quotient inductive types.	Thorsten Altenkirch,Ambrus Kaposi	10.1145/2837614.2837638
Printing floating-point numbers: a faster, always correct method.	Marc Andrysco,Ranjit Jhala,Sorin Lerner	10.1145/2837614.2837654
PolyCheck: dynamic verification of iteration space transformations on affine programs.	Wenlei Bao,Sriram Krishnamoorthy,Louis-Noël Pouchet,Fabrice Rastello,P. Sadayappan	10.1145/2837614.2837656
Overhauling SC atomics in C11 and OpenCL.	Mark Batty,Alastair F. Donaldson,John Wickerson	10.1145/2837614.2837637
SMO: an integrated approach to intra-array and inter-array storage optimization.	Somashekaracharya G. Bhaskaracharya,Uday Bondhugula,Albert Cohen 0001	10.1145/2837614.2837636
Fabular: regression formulas as probabilistic programming.	Johannes Borgström,Andrew D. Gordon 0001,Long Ouyang,Claudio V. Russo,Adam Scibior,Marcin Szymczak 0002	10.1145/2837614.2837653
Optimizing synthesis with metasketches.	James Bornholt,Emina Torlak,Dan Grossman,Luis Ceze	10.1145/2837614.2837666
Model checking for symbolic-heap separation logic with inductive predicates.	James Brotherston,Nikos Gorogiannis,Max I. Kanovich,Reuben Rowe	10.1145/2837614.2837621
Breaking through the normalization barrier: a self-interpreter for f-omega.	Matt Brown,Jens Palsberg	10.1145/2837614.2837623
System f-omega with equirecursive types for datatype-generic programming.	Yufei Cai,Paolo G. Giarrusso,Klaus Ostermann	10.1145/2837614.2837660
Symbolic computation of differential equivalences.	Luca Cardelli,Mirco Tribastone,Max Tschaikowski,Andrea Vandin	10.1145/2837614.2837649
Algorithmic analysis of qualitative and quantitative termination problems for affine probabilistic programs.	Krishnendu Chatterjee,Hongfei Fu 0001,Petr Novotný 0001,Rouzbeh Hasheminezhad	10.1145/2837614.2837639
Algorithms for algebraic path properties in concurrent systems of constant treewidth components.	Krishnendu Chatterjee,Amir Kafshdar Goharshady,Rasmus Ibsen-Jensen,Andreas Pavlogiannis	10.1145/2837614.2837624
