Semantically enhanced software traceability using deep learning techniques.	Jin Guo 0004,Jinghui Cheng,Jane Cleland-Huang	10.1109/ICSE.2017.9
Analysis and testing of notifications in Android wear applications.	Hailong Zhang 0006,Atanas Rountev	10.1109/ICSE.2017.39
Automatic text input generation for mobile testing.	Peng Liu 0010,Xiangyu Zhang 0001,Marco Pistoia,Yunhui Zheng,Manoel Marques,Lingfei Zeng	10.1109/ICSE.2017.65
Repairing event race errors by controlling nondeterminism.	Christoffer Quist Adamsen,Anders Møller,Rezwana Karim,Manu Sridharan,Frank Tip,Koushik Sen	10.1109/ICSE.2017.34
Heuristically matching solution spaces of arithmetic formulas to efficiently reuse solutions.	Andrea Aquino,Giovanni Denaro,Mauro Pezzè	10.1109/ICSE.2017.46
Do developers read compiler error messages?	Titus Barik,Justin Smith 0001,Kevin Lubick,Elisabeth Holmes,Jing Feng 0004,Emerson R. Murphy-Hill,Chris Parnin	10.1109/ICSE.2017.59
PEoPL: projectional editing of product lines.	Benjamin Behringer,Jochen Palz,Thorsten Berger	10.1109/ICSE.2017.58
Adaptive coverage and operational profile-based testing for reliability improvement.	Antonia Bertolino,Breno Miranda,Roberto Pietrantuono,Stefano Russo 0001	10.1109/ICSE.2017.56
Symbolic model extraction for web application verification.	Ivan Bocic,Tevfik Bultan	10.1109/ICSE.2017.72
RADAR: a lightweight tool for requirements and architecture decision analysis.	Saheed A. Busari,Emmanuel Letier	10.1109/ICSE.2017.57
An empirical study on mutation, statement and branch coverage fault revelation that avoids the unreliable clean program assumption.	Thierry Titcheu Chekam,Mike Papadakis,Yves Le Traon,Mark Harman	10.1109/ICSE.2017.61
Learning to prioritize test programs for compiler testing.	Junjie Chen 0003,Yanwei Bai,Dan Hao 0001,Yingfei Xiong 0001,Hongyu Zhang 0002,Bing Xie	10.1109/ICSE.2017.70
Characterizing and detecting anti-patterns in the logging code.	Boyuan Chen 0002,Zhen Ming (Jack) Jiang	10.1109/ICSE.2017.15
Unsupervised software-specific morphological forms inference from informal discussions.	Chunyang Chen,Zhenchang Xing,Ximing Wang	10.1109/ICSE.2017.48
Efficient detection of thread safety violations via coverage-guided generation of concurrent tests.	Ankit Choudhary,Shan Lu 0001,Michael Pradel	10.1109/ICSE.2017.32
A general framework for dynamic stub injection.	Maria Christakis,Patrick Emmisberger,Patrice Godefroid,Peter Müller 0001	10.1109/ICSE.2017.60
Glacier: transitive class immutability for Java.	Michael J. Coblenz,Whitney Nelson,Jonathan Aldrich,Brad A. Myers,Joshua Sunshine	10.1109/ICSE.2017.52
The evolution of continuous experimentation in software product development: from data to a data-driven organization at scale.	Aleksander Fabijan,Pavel A. Dmitriev,Helena Holmström Olsson,Jan Bosch	10.1109/ICSE.2017.76
UML diagram refinement (focusing on class- and use case diagrams).	David Faitelson,Shmuel S. Tyszberowicz	10.1109/ICSE.2017.73
From diversity by numbers to diversity as process: supporting inclusiveness in software development teams with brainstorming.	Anna Filippova,Erik H. Trainer,James D. Herbsleb	10.1109/ICSE.2017.22
Decoding the representation of code in the brain: an fMRI study of code review and expertise.	Benjamin Floyd,Tyler Santander,Westley Weimer	10.1109/ICSE.2017.24
To type or not to type: quantifying detectable bugs in JavaScript.	Zheng Gao,Christian Bird,Earl T. Barr	10.1109/ICSE.2017.75
Can latent topics in source code predict missing architectural tactics?	Raghuram Gopalakrishnan,Palak Sharma,Mehdi Mirakhorli,Matthias Galster	10.1109/ICSE.2017.10
ZenIDS: introspective intrusion detection for PHP applications.	Byron Hawkins,Brian Demsky	10.1109/ICSE.2017.29
Machine-learning-guided selectively unsound static analysis.	Kihong Heo,Hakjoo Oh,Kwangkeun Yi	10.1109/ICSE.2017.54
Becoming agile: a grounded theory of agile transitions in practice.	Rashina Hoda,James Noble 0001	10.1109/ICSE.2017.21
What causes my test alarm?: automatic cause analysis for test alarms in system and integration testing.	He Jiang 0001,Xiaochen Li,Zijiang Yang 0006,Jifeng Xuan	10.1109/ICSE.2017.71
An unsupervised approach for discovering relevant tutorial fragments for APIs.	He Jiang 0001,Jingxuan Zhang,Zhilei Ren,Tao Zhang 0001	10.1109/ICSE.2017.12
Classifying developers into core and peripheral: an empirical study on count and network metrics.	Mitchell Joblin,Sven Apel,Claus Hunsen,Wolfgang Mauerer	10.1109/ICSE.2017.23
How good is a security policy against real breaches?: a HIPAA case study.	Özgür Kafali,Jasmine Jones,Megan Petruso,Laurie A. Williams,Munindar P. Singh	10.1109/ICSE.2017.55
Automated refactoring of legacy Java software to default methods.	Raffi Khatchadourian,Hidehiko Masuhara	10.1109/ICSE.2017.16
Challenges for static analysis of Java reflection: literature review and empirical study.	Davy Landman,Alexander Serebrenik,Jurgen J. Vinju	10.1109/ICSE.2017.53
A SEALANT for inter-app security holes in android.	Youn Kyu Lee,Jae Young Bang,Gholamreza Safi,Arman Shahbazian,Yixue Zhao,Nenad Medvidovic	10.1109/ICSE.2017.36
Understanding the impressions, motivations, and barriers of one time code contributors to FLOSS projects: a survey.	Amanda Lee,Jeffrey C. Carver,Amiangshu Bosu	10.1109/ICSE.2017.25
LibD: scalable and precise third-party library detection in android markets.	Menghao Li,Wei Wang,Pei Wang 0007,Shuai Wang 0011,Dinghao Wu,Jian Liu 0008,Rui Xue 0001,Wei Huo	10.1109/ICSE.2017.38
Feedback-based debugging.	Yun Lin 0001,Jun Sun 0001,Yinxing Xue,Yang Liu 0003,Jin Song Dong	10.1109/ICSE.2017.43
Stochastic optimization of program obfuscation.	Han Liu 0010,Chengnian Sun,Zhendong Su 0001,Yu Jiang 0001,Ming Gu 0001,Jiaguang Sun 0001	10.1109/ICSE.2017.28
