A reference architecture for datacenter scheduling: design, validation, and experiments.	Georgios Andreadis,Laurens Versluis,Fabian Mastenbroek,Alexandru Iosup	
bespoKV: application tailored scale-out key-value stores.	Ali Anwar 0001,Yue Cheng 0001,Hai Huang 0002,Jingoo Han,Hyogi Sim,Dongyoon Lee,Fred Douglis,Ali Raza Butt	
Best practices and lessons from deploying and operating a sustained-petascale system: the blue waters experience.	Gregory H. Bauer,Brett M. Bode,Jeremy Enos,William T. Kramer,Scott A. Lathrop,Celso L. Mendes,Robert Sisneros	
Simulating the weak death of the Neutron in a femtoscale universe with near-exascale computing.	Evan Berkowitz,Michael A. Clark,Arjun Singh Gambhir,Kenneth McElvain,Amy N. Nicholson,Enrico Rinaldi,Pavlos Vranas,André Walker-Loud,Chia-Cheng Chang,Bálint Joó,Thorsten Kurth,Kostas Orginos	
Exploiting idle resources in a high-radix switch for supplemental storage.	Matthias A. Blumrich,Nan Jiang 0009,Larry R. Dennison	
A parallelism profiler with what-if analyses for OpenMP programs.	Nader Boushehrinejadmoradi,Adarsh Yoga,Santosh Nagarakatte	
Runtime-assisted cache coherence deactivation in task parallel programs.	Paul Caheny,Lluc Alvarez,Mateo Valero,Miquel Moretó,Marc Casas	
Cooperative rendezvous protocols for improved performance and overlap.	Sourav Chakraborty 0003,Mohammadreza Bayatpour,Jahanzeb Maqbool Hashmi,Hari Subramoni,Dhabaleswar K. Panda 0001	
Evaluating and accelerating high-fidelity error injection for HPC.	Chun-Kai Chang,Sangkug Lym,Nicholas Kelly,Michael B. Sullivan 0001,Mattan Erez	
Simulating the Wenchuan earthquake with accurate surface topography on Sunway TaihuLight.	Bingwei Chen,Haohuan Fu,Yanwen Wei,Conghui He,Wenqiang Zhang,Yuxuan Li,Wubin Wan,Wei Zhang,Lin Gan,Wei Zhang,Zhenguo Zhang,Guangwen Yang,Xiaofei Chen	
Fault tolerant one-sided matrix decompositions on heterogeneous systems with GPUs.	Jieyang Chen,Hongbo Li 0006,Sihuan Li,Xin Liang 0001,Panruo Wu,Dingwen Tao,Kaiming Ouyang,Yuanlai Liu,Kai Zhao 0008,Qiang Guan,Zizhong Chen	
ParSy: inspection and transformation of sparse matrix computations for parallelism.	Kazem Cheshmi,Shoaib Kamil 0001,Michelle Mills Strout,Maryam Mehri Dehnavi	
High-performance dense tucker decomposition on GPU clusters.	Jee W. Choi,Xing Liu,Venkatesan T. Chakaravarthy	
Characterization of MPI usage on a production supercomputer.	Sudheer Chunduri,Scott Parker,Pavan Balaji,Kevin Harms,Kalyan Kumaran	
Doomsday: predicting which node will fail when on supercomputers.	Anwesha Das,Frank Mueller 0001,Paul Hargrove,Eric Roman,Scott B. Baden	
A divide and conquer algorithm for DAG scheduling under power constraints.	Gökalp Demirci,Ivana Marincic,Henry Hoffmann	
Redesigning LAMMPS for peta-scale and hundred-billion-atom simulation on Sunway TaihuLight.	Xiaohui Duan,Ping Gao 0005,Tingjian Zhang,Meng Zhang,Weiguo Liu,Wusheng Zhang,Wei Xue,Haohuan Fu,Lin Gan,Dexun Chen,Xiangxu Meng,Guangwen Yang	
Light-weight protocols for wire-speed ordering.	Hans Eberle,Larry Dennison	
Distributed memory sparse inverse covariance matrix estimation on high-performance computing architectures.	Aryan Eftekhari,Matthias Bollhöfer,Olaf Schenk	
Energy efficiency modeling of parallel applications.	Mark Endrei,Chao Jin,Minh Ngoc Dinh,David Abramson 0001,Heidi Poxon,Luiz DeRose,Bronis R. de Supinski	
Many-core graph workload analysis.	Stijn Eyerman,Wim Heirman,Kristof Du Bois,Joshua B. Fryman,Ibrahim Hur	
Phase asynchronous AMR execution for productive and performant astrophysical flows.	Muhammed Nufail Farooqi,Tan Nguyen 0001,Weiqun Zhang,Ann S. Almgren,John Shalf,Didem Unat	
