Transactional memory introduction.	Ali-Reza Adl-Tabatabai	10.1109/HOTCHIPS.2006.7477738
Hot chips 18 industry panel: Who owns the living room?	James Akiyama	10.1109/HOTCHIPS.2006.7477856
Hardware and applications of AsAP: An asynchronous array of simple processors.	Bevan M. Baas,Zhiyi Yu,Michael J. Meeuwsen,Omar Sattari,Ryan W. Apperson,Eric W. Work,Jeremy W. Webb,Michael A. Lai,Daniel Gurman,Chi Chen,Jason Cheung,Dean Truong,Tinoosh Mohsenin	10.1109/HOTCHIPS.2006.7477855
ARM996HS™ the first licensable, clockless 32-bit processor core.	Arjan Bink,Richard York	10.1109/HOTCHIPS.2006.7477862
The CA1024: A fully programmable system-on-chip for costeffective HDTV media processing.	Lazar Bivolarski,Bogdan Mitu,Anand Sheel,Gheorghe Stefan,Tom Thomson,Dan Tomescu	10.1109/HOTCHIPS.2006.7477854
Microsoft microsoft in the living room.	Bob Brummer	10.1109/HOTCHIPS.2006.7477857
Blackford: A duall processor chipset for servers and workstatiions.	Kai Cheng,Sundaram Chinthamani,Sivakumar Radhakrishnan,Faye A. Briggs,Kathy Debnath	10.1109/HOTCHIPS.2006.7477875
The AMD Opteron™ CMP NorthBridge architecture: Now and in the future.	Pat Conway,Bill Hughes	10.1109/HOTCHIPS.2006.7477747
A low-latency, high-bandwidth ethernet switch chip.	Uri Cummings	10.1109/HOTCHIPS.2006.7477870
Who owns the living room?	Bill Curtis	10.1109/HOTCHIPS.2006.7477858
The next generation 65-nm FPGA.	Steve Douglass,Kees A. Vissers,Peter Alfke	10.1109/HOTCHIPS.2006.7477750
Inside Intel® Core microarchitecture.	Jack Doweck	10.1109/HOTCHIPS.2006.7477876
Z-RAM® ultra-dense memory for 90nm and below.	David E. Fisch,Anant Singh,Greg Popov	10.1109/HOTCHIPS.2006.7477748
The tulsa processor: A dual core large shared-cache Intel® Xeon processor 7000 sequence for the MP server market segment.	Jeffrey D. Gilbert,Stephen H. Hunt,Daniel Gunadi,Ganapati Srinivas	10.1109/HOTCHIPS.2006.7477873
Niagara-2: A highly threaded server-on-a-chip.	Greg Grohoski	10.1109/HOTCHIPS.2006.7477874
Design of a reusable 1GHz, superscalar ARM processor.	Stephen Hill	10.1109/HOTCHIPS.2006.7477864
SH-MobileG1: A single-chip application and dual-mode baseband processor.	Masayuki Ito,Takahiro Irita,Eiji Yamamoto,Kunihiko Nishiyama,Takao Koike,Yoshihiko Tsuchihashi,Hiroyuki Asano,Hiroshi Yagi,Saneaki Tamaki,Ken Tatezawa,Toshihiro Hattori,Shinichi Yoshioka,Koji Ohno	10.1109/HOTCHIPS.2006.7477871
TeraOPS hardware: A new massively-parallel MIMD computing fabric IC.	Anthony Mark Jones,Mike Butts	10.1109/HOTCHIPS.2006.7477853
The MIPS32® 34K processor: Ultimate design flexibility for embedded applications.	Ryan Kinter	10.1109/HOTCHIPS.2006.7477863
Home entertainment-quality multimedia experience whilst on the move.	Marcin Klecha,Ralf Karge,Richard O&apos;Connor	10.1109/HOTCHIPS.2006.7477744
Transactional memory implementation overview.	Christos Kozyrakis	10.1109/HOTCHIPS.2006.7477740
Multithreaded programming challenges, current practice, and languages/tools support.	Yuan Lin	10.1109/HOTCHIPS.2006.7477737
In silico vox: Towards speech recognition in silicon.	Edward C. Lin,Kai Yu,Rob A. Rutenbar,Tsuhan Chen	10.1109/HOTCHIPS.2006.7477867
Towards optimal custom instruction processors.	Wayne Luk,Kubilay Atasu,Robert G. Dimond,Oskar Mencer	10.1109/HOTCHIPS.2006.7477865
A novel processor architecture for high-performance stream processing.	Jan van Lunteren	10.1109/HOTCHIPS.2006.7477868
Who owns the living room?	Alan Messer	10.1109/HOTCHIPS.2006.7477859
Collaborative innovation; a new lever in information technology development.	Bernard S. Meyerson	10.1109/HOTCHIPS.2006.7477866
Research accelerator for multiple processors.	David A. Patterson 0001,Arvind,Krste Asanovic,Derek Chiou,James C. Hoe,Christos Kozyrakis,Shih-Lien Lu,Mark Oskin,Jan M. Rabaey,John Wawrzynek	10.1109/HOTCHIPS.2006.7477751
PNX8535 hybrid television processor.	Ben J. Pronk	10.1109/HOTCHIPS.2006.7477742
Wireless in the home - opportunities and challenges.	Jan M. Rabaey	10.1109/HOTCHIPS.2006.7477741
Cool codes for hot chips: A quantitative basis for multi-core design.	Justin Rattner	10.1109/HOTCHIPS.2006.7477745
Software transactional memory.	Bratin Saha	10.1109/HOTCHIPS.2006.7477739
Who owns the living room?	Glen Stone	10.1109/HOTCHIPS.2006.7477860
The APP300 access network processor.	Balakrishnan Sundararaman	10.1109/HOTCHIPS.2006.7477872
Micro manipulator array for nano-bioelectronics era.	K. Suzuki,Y. Naruse,Hideyuki Funaki,Kazuhiko Itaya,S. Uchikoga	10.1109/HOTCHIPS.2006.7477869
The ultra small HDD for the mobile applications.	Akihiko Takeo,Kazuhito Shimomura,Jun Itoh	10.1109/HOTCHIPS.2006.7477749
Who owns the living room?	Q. Yamada	10.1109/HOTCHIPS.2006.7477861
Low-power, high-performance architecture of the PWRficient processor family.	Tse-Yu Yeh	10.1109/HOTCHIPS.2006.7477746
An implementation of hardware accelerator using dynamically reconfigurable architecture.	Takashi Yoshikawa,Yutaka Yamada,Shigehiro Asano	10.1109/HOTCHIPS.2006.7477752
2006 IEEE Hot Chips 18 Symposium (HCS), Stanford, CA, USA, August 20-22, 2006		
