Counter-Example Guided Program Verification.	Parosh Aziz Abdulla,Mohamed Faouzi Atig,Bui Phi Diep	10.1007/978-3-319-48989-6_2
Tighter Reachability Criteria for Deadlock-Freedom Analysis.	Pedro R. G. Antonino,Thomas Gibson-Robinson,A. W. Roscoe 0001	10.1007/978-3-319-48989-6_3
Compositional Parameter Synthesis.	Lacramioara Astefanoaei,Saddek Bensalem,Marius Bozga,Chih-Hong Cheng,Harald Ruess	10.1007/978-3-319-48989-6_4
Combining Mechanized Proofs and Model-Based Testing in the Formal Analysis of a Hypervisor.	Hanno Becker,Juan Manuel Crespo,Jacek Galowicz,Ulrich Hensel,Yoichi Hirai,César Kunz,Keiko Nakata 0001,Jorge Luis Sacchini,Hendrik Tews,Thomas Tuerk	10.1007/978-3-319-48989-6_5
A Model Checking Approach to Discrete Bifurcation Analysis.	Nikola Benes,Lubos Brim,Martin Demko,Samuel Pastva,David Safránek	10.1007/978-3-319-48989-6_6
Battery-Aware Scheduling in Low Orbit: The GomX-3 Case.	Morten Bisgaard,David Gerhardt,Holger Hermanns,Jan Krcál,Gilles Nies,Marvin Stenger	10.1007/978-3-319-48989-6_34
State-Space Reduction of Non-deterministically Synchronizing Systems Applicable to Deadlock Detection in MPI.	Stanislav Böhm,Ondrej Meca,Petr Jancar	10.1007/978-3-319-48989-6_7
Model-Based Design of an Energy-System Embedded Controller Using Taste.	Roberto Cavada,Alessandro Cimatti,Luigi Crema,Mattia Roccabruna,Stefano Tonetta	10.1007/978-3-319-48989-6_45
Formal Verification of Multi-Paxos for Distributed Consensus.	Saksham Chand,Yanhong A. Liu,Scott D. Stoller	10.1007/978-3-319-48989-6_8
Validated Simulation-Based Verification of Delayed Differential Dynamics.	Mingshuai Chen,Martin Fränzle,Yangjia Li,Peter Nazier Mosaad,Naijun Zhan	10.1007/978-3-319-48989-6_9
Towards Learning and Verifying Invariants of Cyber-Physical Systems by Code Mutation.	Yuqi Chen 0001,Christopher M. Poskitt,Jun Sun 0001	10.1007/978-3-319-48989-6_10
From Electrical Switched Networks to Hybrid Automata.	Alessandro Cimatti,Sergio Mover,Mirko Sessa	10.1007/978-3-319-48989-6_11
Danger Invariants.	Cristina David,Pascal Kesseli,Daniel Kroening,Matt Lewis	10.1007/978-3-319-48989-6_12
Local Planning of Multiparty Interactions with Bounded Horizons.	Mahieddine Dellabani,Jacques Combaz,Marius Bozga,Saddek Bensalem	10.1007/978-3-319-48989-6_13
Finding Suitable Variability Abstractions for Family-Based Analysis.	Aleksandar S. Dimovski,Claus Brabrand,Andrzej Wasowski	10.1007/978-3-319-48989-6_14
Recovering High-Level Conditions from Binary Programs.	Adel Djoudi,Sébastien Bardin,Éric Goubault	10.1007/978-3-319-48989-6_15
Simulink to UPPAAL Statistical Model Checker: Analyzing Automotive Industrial Systems.	Predrag Filipovikj,Nesredin Mahmud,Raluca Marinescu,Cristina Seceleanu,Oscar Ljungkrantz,Henrik Lönn	10.1007/978-3-319-48989-6_46
