Fairness: A Formal-Methods Perspective.	Aws Albarghouthi	10.1007/978-3-319-99725-4_1
Abstract Interpretation of Stateful Networks.	Kalev Alpernas,Roman Manevich,Aurojit Panda,Mooly Sagiv,Scott Shenker,Sharon Shoham,Yaron Velner	10.1007/978-3-319-99725-4_8
Block-Size Independence for GPU Programs.	Rajeev Alur,Joseph Devietti,Nimit Singhania	10.1007/978-3-319-99725-4_9
The MISRA C Coding Standard and its Role in the Development and Analysis of Safety- and Security-Critical Embedded Software.	Roberto Bagnara,Abramo Bagnara,Patricia M. Hill	10.1007/978-3-319-99725-4_2
Extending Constraint-Only Representation of Polyhedra with Boolean Constraints.	Alexey Bakhirkin,David Monniaux	10.1007/978-3-319-99725-4_10
An Efficient Abstract Domain for Not Necessarily Closed Polyhedra.	Anna Becchi,Enea Zaffanella	10.1007/978-3-319-99725-4_11
Modular Software Fault Isolation as Abstract Interpretation.	Frédéric Besson,Thomas P. Jensen,Julien Lepiller	10.1007/978-3-319-99725-4_12
Closing the Performance Gap Between Doubles and Rationals for Octagons.	Aziem Chawdhary,Andy King	10.1007/978-3-319-99725-4_13
Verifying Properties of Differentiable Programs.	Jan Hückelheim,Ziqing Luo,Sri Hari Krishna Narayanan,Stephen F. Siegel,Paul D. Hovland	10.1007/978-3-319-99725-4_14
A Reduced Product of Absolute and Relative Error Bounds for Floating-Point Analysis.	Maxime Jacquemin,Sylvie Putot,Franck Védrine	10.1007/978-3-319-99725-4_15
Modular Static Analysis of String Manipulations in C Programs.	Matthieu Journault,Antoine Miné,Abdelraouf Ouadjaout	10.1007/978-3-319-99725-4_16
Numerical Invariants via Abstract Machines.	Zachary Kincaid	10.1007/978-3-319-99725-4_3
Verifying Bounded Subset-Closed Hyperproperties.	Isabella Mastroeni,Michele Pasqua	10.1007/978-3-319-99725-4_17
Deductive Verification in Decidable Fragments with Ivy.	Kenneth L. McMillan,Oded Padon	10.1007/978-3-319-99725-4_4
Process-Local Static Analysis of Synchronous Processes.	Jan Midtgaard,Flemming Nielson,Hanne Riis Nielson	10.1007/978-3-319-99725-4_18
The Impact of Program Transformations on Static Program Analysis.	Kedar S. Namjoshi,Zvonimir Pavlinovic	10.1007/978-3-319-99725-4_19
Experience Developing and Deploying Concurrency Analysis at Facebook.	Peter W. O&apos;Hearn	10.1007/978-3-319-99725-4_5
New Applications of Software Synthesis: Verification of Configuration Files and Firewall Repair.	Ruzica Piskac	10.1007/978-3-319-99725-4_6
Efficiently Learning Safety Proofs from Appearance as well as Behaviours.	Sumanth Prabhu 0001,Kumar Madhukar,R. Venkatesh 0001	10.1007/978-3-319-99725-4_20
Invertible Linear Transforms of Numerical Abstract Domains.	Francesco Ranzato,Marco Zanella	10.1007/978-3-319-99725-4_21
Incremental Verification Using Trace Abstraction.	Bat-Chen Rothenberg,Daniel Dietsch,Matthias Heizmann	10.1007/978-3-319-99725-4_22
Volume-Based Merge Heuristics for Disjunctive Numeric Domains.	Andrew Ruef,Kesha Hietala,Arlen Cox	10.1007/978-3-319-99725-4_23
Interactive Verification of Distributed Protocols Using Decidable Logic.	Sharon Shoham	10.1007/978-3-319-99725-4_7
Abstract Interpretation of CTL Properties.	Caterina Urban,Samuel Ueltschi,Peter Müller 0001	10.1007/978-3-319-99725-4_24
Inductive Termination Proofs with Transition Invariants and Their Relationship to the Size-Change Abstraction.	Florian Zuleger	10.1007/978-3-319-99725-4_25
Static Analysis - 25th International Symposium, SAS 2018, Freiburg, Germany, August 29-31, 2018, Proceedings	Andreas Podelski	10.1007/978-3-319-99725-4
