Protocol-Aware Recovery for Consensus-Based Storage.	Ramnatthan Alagappan,Aishwarya Ganesan,Eric Lee,Aws Albarghouthi,Vijay Chidambaram,Andrea C. Arpaci-Dusseau,Remzi H. Arpaci-Dusseau	
JumpSwitches: Restoring the Performance of Indirect Branches In the Era of Spectre.	Nadav Amit,Fred Jacobs,Michael Wei	
M³x: Autonomous Accelerators via Context-Enabled Fast-Path Communication.	Nils Asmussen,Michael Roitzsch,Hermann Härtig	
Effective Static Analysis of Concurrency Use-After-Free Bugs in Linux Device Drivers.	Jia-Ju Bai,Julia Lawall,Qiu-Liang Chen,Shi-Min Hu 0001	
SILK: Preventing Latency Spikes in Log-Structured Merge Key-Value Stores.	Oana Balmau,Florin Dinu,Willy Zwaenepoel,Karan Gupta,Ravishankar Chandhiramoorthi,Diego Didona	
Orca: Differential Bug Localization in Large-Scale Services.	Ranjita Bhagwan,Rahul Kumar 0002,Chandra Shekhar Maddila,Adithya Abraham Philip	
Extension Framework for File Systems in User space.	Ashish Bijlani,Umakishore Ramachandran	
GAIA: An OS Page Cache for Heterogeneous Systems.	Tanya Brokhman,Pavel Lifshits,Mark Silberstein	
OPTR: Order-Preserving Translation and Recovery Design for SSDs with a Standard Block Device Interface.	Yun-Sheng Chang,Ren-Shuo Liu	
The Semantics of Transactions and Weak Memory in x86, Power, ARM, and C++.	Nathan Chong,Tyler Sorensen 0001,John Wickerson	
Detecting Asymmetric Application-layer Denial-of-Service Attacks In-Flight with Finelame.	Henri Maxime Demoulin,Isaac Pedisich,Nikos Vasilakis,Vincent Liu 0001,Boon Thau Loo,Linh Thi Xuan Phan	
BRAVO - Biased Locking for Reader-Writer Locks.	Dave Dice,Alex Kogan	
Data Domain Cloud Tier: Backup here, backup there, deduplicated everywhere!	Abhinav Duggal,Fani Jenkins,Philip Shilane,Ramprasad Chinthekindi,Ritesh Shah,Mahesh Kamat	
The Design and Operation of CloudLab.	Dmitry Duplyakin,Robert Ricci,Aleksander Maricq,Gary Wong,Jonathon Duerig,Eric Eide,Leigh Stoller,Mike Hibler,David Johnson 0004,Kirk Webb,Aditya Akella,Kuang-Ching Wang,Glenn Ricart,Larry Landweber,Chip Elliott,Michael Zink,Emmanuel Cecchet,Snigdhaswin Kar,Prabodh Mishra	
NICA: An Infrastructure for Inline Acceleration of Network Applications.	Haggai Eran,Lior Zeno,Maroun Tork,Gabi Malka,Mark Silberstein	
From Laptop to Lambda: Outsourcing Everyday Jobs to Thousands of Transient Functional Containers.	Sadjad Fouladi,Francisco Romero,Dan Iter,Qian Li 0027,Shuvo Chatterjee,Christos Kozyrakis,Matei Zaharia,Keith Winstein	
Who Left Open the Cookie Jar? A Comprehensive Evaluation of Third-Party Cookie Policies.	Gertjan Franken,Tom van Goethem,Wouter Joosen	
EdgeWise: A Better Stream Processing Engine for the Edge.	Xinwei Fu,Talha Ghaffar,James C. Davis 0001,Dongyoon Lee	
EROFS: A Compression-friendly Readonly File System for Resource-scarce Devices.	Xiang Gao,Mingkai Dong 0002,Xie Miao,Wei Du,Chao Yu,Haibo Chen 0001	
Secured Routines: Language-based Construction of Trusted Execution Environments.	Adrien Ghosn,James R. Larus,Edouard Bugnion	
Pisces: A Scalable and Efficient Persistent Transactional Memory.	Jinyu Gu 0001,Qianqian Yu,Xiayang Wang,Zhaoguo Wang,Binyu Zang,Haibing Guan,Haibo Chen 0001	
Transkernel: Bridging Monolithic Kernels to Peripheral Cores.	Liwei Guo,Shuang Zhai,Yi Qiao,Felix Xiaozhu Lin	
Track-based Translation Layers for Interlaced Magnetic Recording.	Mohammad Hossein Hajkazemi,Ajay Narayan Kulkarni,Peter Desnoyers,Timothy R. Feldman	
Hodor: Intra-Process Isolation for High-Throughput Data Plane Libraries.	Mohammad Hedayati,Spyridoula Gravani,Ethan Johnson,John Criswell,Michael L. Scott,Kai Shen,Mike Marty	
Multi-Queue Fair Queuing.	Mohammad Hedayati,Kai Shen,Michael L. Scott,Mike Marty	
SemperOS: A Distributed Capability System.	Matthias Hille,Nils Asmussen,Pramod Bhatotia,Hermann Härtig	
QZFS: QAT Accelerated Compression in File System for Application Agnostic and Cost Efficient Data Storage.	Xiaokang Hu,Fuzong Wang,Weigang Li 0002,Jian Li 0021,Haibing Guan	
Tangram: Bridging Immutable and Mutable Abstractions for Distributed Data Analytics.	Yuzhen Huang,Xiao Yan 0002,Guanxian Jiang,Tatiana Jin,James Cheng,An Xu,Zhanhao Liu,Shuo Tu	
Evaluating File System Reliability on Solid State Drives.	Shehbaz Jaffer,Stathis Maneas,Andy A. Hwang,Bianca Schroeder	
Your Coflow has Many Flows: Sampling them for Fun and Speed.	Akshay Jajoo,Y. Charlie Hu,Xiaojun Lin 0001	
Not So Fast: Analyzing the Performance of WebAssembly vs. Native Code.	Abhinav Jangda,Bobby Powers,Emery D. Berger,Arjun Guha	
Analysis of Large-Scale Multi-Tenant GPU Clusters for DNN Training Workloads.	Myeongjae Jeon,Shivaram Venkataraman,Amar Phanishayee,Junjie Qian,Wencong Xiao,Fan Yang 0024	
PostMan: Rapidly Mitigating Bursty Traffic by Offloading Packet Processing.	Panpan Jin,Jian Guo,Yikai Xiao,Rong Shi,Yipei Niu,Fangming Liu,Chen Qian 0001,Yang Wang 0009	
FlexGroup Volumes: A Distributed WAFL File System.	Ram Kesavan,Jason Hennessey,Richard Jernigan,Peter Macko,Keith A. Smith,Daniel Tennant,Bharadwaj V. R.	
STRADS-AP: Simplifying Distributed Machine Learning Programming without Introducing a New Programming Model.	Jin Kyu Kim,Abutalib Aghayev,Garth A. Gibson,Eric P. Xing	
Practical Erase Suspension for Modern Low-latency SSDs.	Shine Kim,Jonghyun Bae,Hakbeom Jang,Wenjing Jin 0001,Jeonghun Gong,SeungYeon Lee,Tae Jun Ham,Jae W. Lee	
Alleviating Garbage Collection Interference Through Spatial Separation in All Flash Arrays.	Jaeho Kim,Kwanghyun Lim,Youngdon Jung,Sungjin Lee 0001,Changwoo Min,Sam H. Noh	
