Warped gates: gating aware scheduling and power gating for GPGPUs.	Mohammad Abdel-Majeed,Daniel Wong 0001,Murali Annavaram	10.1145/2540708.2540719
The reuse cache: downsizing the shared last-level cache.	Jorge Albericio,Pablo Ibáñez,Víctor Viñals,José M. Llabería	10.1145/2540708.2540735
Virtually-aged sampling DMR: unifying circuit failure prediction and circuit failure detection.	Raghuraman Balasubramanian,Karthikeyan Sankaralingam	10.1145/2540708.2540720
Large-reach memory management unit caches.	Abhishek Bhattacharjee	10.1145/2540708.2540741
DESC: energy-efficient data exchange using synchronized counters.	Mahdi Nazm Bojnordi,Engin Ipek	10.1145/2540708.2540729
Efficient multiprogramming for multicores with SCAF.	Timothy Creech,Aparna Kotha,Rajeev Barua	10.1145/2540708.2540737
Aegis: partitioning data block for efficient recovery of stuck-at-faults in phase change memory.	Jie Fan 0004,Song Jiang 0001,Jiwu Shu,Youhui Zhang,Weimin Zhen	10.1145/2540708.2540745
Energy efficient GPU transactional memory via space-time optimizations.	Wilson W. L. Fung,Tor M. Aamodt	10.1145/2540708.2540743
Efficient management of last-level caches in graphics processors for 3D scene rendering workloads.	Jayesh Gaur,Raghuram Srinivasan,Sreenivas Subramoney,Mainak Chaudhuri	10.1145/2540708.2540742
Exploiting GPU peak-power and performance tradeoffs through reduced effective pipeline latency.	Syed Zohaib Gilani,Nam Sung Kim,Michael J. Schulte	10.1145/2540708.2540716
Linearizing irregular memory accesses for improved correlated prefetching.	Akanksha Jain,Calvin Lin	10.1145/2540708.2540730
Insertion and promotion for tree-based PseudoLRU last-level caches.	Daniel A. Jiménez	10.1145/2540708.2540733
SHIFT: shared history instruction fetch for lean-core server processors.	Cansu Kaynak,Boris Grot,Babak Falsafi	10.1145/2540708.2540732
Use it or lose it: wear-out and lifetime in future chip multiprocessors.	Hyungjun Kim,Arseniy Vitkovskiy,Paul V. Gratz,Vassos Soteriou	10.1145/2540708.2540721
Meet the walkers: accelerating index traversals for in-memory databases.	Yusuf Onur Koçberber,Boris Grot,Javier Picorel,Babak Falsafi,Kevin T. Lim,Parthasarathy Ranganathan	10.1145/2540708.2540748
RDIP: return-address-stack directed instruction prefetching.	Aasheesh Kolli,Ali G. Saidi,Thomas F. Wenisch	10.1145/2540708.2540731
MLP-aware dynamic instruction window resizing for adaptively exploiting both ILP and MLP.	Yuya Kora,Kyohei Yamaguchi,Hideki Ando	10.1145/2540708.2540713
