SPHT: Scalable Persistent Hardware Transactions.	Daniel Castro 0004,Alexandro Baldassin,João Barreto 0001,Paolo Romano 0002	
ArchTM: Architecture-Aware, High Performance Transaction for Persistent Memory.	Kai Wu 0006,Jie Ren 0015,Ivy Bo Peng,Dong Li 0001	
A Community Cache with Complete Information.	Mania Abdi,Amin Mosayyebzadeh,Mohammad Hossein Hajkazemi,Emine Ugur Kaynar,Ata Turk,Larry Rudolph,Orran Krieger,Peter Desnoyers	
FlashNeuron: SSD-Enabled Large-Batch Training of Very Deep Neural Networks.	Jonghyun Bae,Jongsung Lee 0001,Yunho Jin,Sam Son,Shine Kim,Hakbeom Jang,Tae Jun Ham,Jae W. Lee	
Scalable Persistent Memory File System with Kernel-Userspace Collaboration.	Youmin Chen,Youyou Lu,Bohong Zhu,Andrea C. Arpaci-Dusseau,Remzi H. Arpaci-Dusseau,Jiwu Shu	
SpanDB: A Fast, Cost-Effective LSM-tree Based KV Store on Hybrid Storage.	Hao Chen 0080,Chaoyi Ruan,Cheng Li 0001,Xiaosong Ma,Yinlong Xu	
pFSCK: Accelerating File System Checking and Repair for Modern Storage.	David Domingo,Sudarsun Kannan	
Evolution of Development Priorities in Key-value Stores Serving Large-scale Applications: The RocksDB Experience.	Siying Dong,Andrew Kryczka,Yanqin Jin,Michael Stumm	
An In-Depth Study of Correlated Failures in Production SSD-Based Data Centers.	Shujie Han 0001,Patrick P. C. Lee,Fan Xu,Yi Liu,Cheng He,Jiongzhou Liu	
Exploiting Combined Locality for Wide-Stripe Erasure Coding in Distributed Storage.	Yuchong Hu,Liangfeng Cheng,Qiaori Yao,Patrick P. C. Lee,Weichun Wang,Wei Chen	
Pattern-Guided File Compression with User-Experience Enhancement for Log-Structured File System on Mobile Devices.	Cheng Ji,Li-Pin Chang,Riwei Pan,Chao Wu 0006,Congming Gao,Liang Shi,Tei-Wei Kuo,Chun Jason Xue	
FusionRAID: Achieving Consistent Low Latency for Commodity SSD Arrays.	Tianyang Jiang,Guangyan Zhang,Zican Huang,Xiaosong Ma,Junyu Wei,Zhiyue Li,Weimin Zheng	
Behemoth: A Flash-centric Training Accelerator for Extreme-scale DNNs.	Shine Kim,Yunho Jin,Gina Sohn,Jonghyun Bae,Tae Jun Ham,Jae W. Lee	
eMRC: Efficient Miss Ratio Approximation for Multi-Tier Caching.	Zhang Liu,Hee Won Lee,Yu Xiang 0003,Dirk Grunwald,Sangtae Ha	
ROART: Range-query Optimized Persistent ART.	Shaonan Ma,Kang Chen,Shimin Chen,Mengxing Liu,Jianglang Zhu,Hongbo Kang,Yongwei Wu	
CNSBench: A Cloud Native Storage Benchmark.	Alex Merenstein,Vasily Tarasov,Ali Anwar 0001,Deepavali Bhagwat,Julie Lee,Lukas Rupprecht,Dimitris Skourtis,Yang Yang,Erez Zadok	
High Velocity Kernel File Systems with Bento.	Samantha Miller,Kaiyuan Zhang 0001,Mengqi Chen,Ryan Jennings,Ang Chen 0001,Danyang Zhuo,Thomas E. Anderson	
CheckFreq: Frequent, Fine-Grained DNN Checkpointing.	Jayashree Mohan,Amar Phanishayee,Vijay Chidambaram	
Rethinking File Mapping for Persistent Memory.	Ian Neal,Gefei Zuo,Eric Shiple,Tanvir Ahmed Khan,Youngjin Kwon,Simon Peter 0001,Baris Kasikci	
Facebook&apos;s Tectonic Filesystem: Efficiency from Exascale.	Satadru Pan,Theano Stavrinos,Yunqiao Zhang,Atul Sikaria,Pavel Zakharov,Abhinav Sharma,Shiva Shankar P.,Mike Shuey,Richard Wareing,Monika Gangapuram,Guanglei Cao,Christian Preseau,Pratap Singh,Kestutis Patiejunas,J. R. Tipton,Ethan Katz-Bassett,Wyatt Lloyd	
Learning Cache Replacement with CACHEUS.	Liana V. Rodriguez,Farzana Beente Yusuf,Steven Lyons,Eysler Paz,Raju Rangaswami,Jason Liu,Ming Zhao 0002,Giri Narasimhan	
Concordia: Distributed Shared Memory with In-Network Cache Coherence.	Qing Wang 0031,Youyou Lu,Erci Xu,Junru Li,Youmin Chen,Jiwu Shu	
On the Feasibility of Parser-based Log Compression in Large-Scale Cloud Systems.	Junyu Wei,Guangyan Zhang,Yang Wang 0009,Zhiwei Liu,Zhanyang Zhu,Junchao Chen 0005,Tingtao Sun,Qi Zhou	
D2FQ: Device-Direct Fair Queueing for NVMe SSDs.	Jiwon Woo,Minwoo Ahn,Gyusun Lee,Jinkyu Jeong	
The Storage Hierarchy is Not a Hierarchy: Optimizing Caching on Modern Storage Devices with Orthus.	Kan Wu,Zhihan Guo,Guanzhou Hu,Kaiwei Tu,Ramnatthan Alagappan,Rathijit Sen,Kwanghyun Park 0001,Andrea C. Arpaci-Dusseau,Remzi H. Arpaci-Dusseau	
REMIX: Efficient Range Query for LSM-trees.	Wenshao Zhong,Chen Chen,Xingbo Wu,Song Jiang 0001	
Remap-SSD: Safely and Efficiently Exploiting SSD Address Remapping to Eliminate Duplicate Writes.	You Zhou,Qiulin Wu,Fei Wu 0005,Hong Jiang,Jian Zhou 0004,Changsheng Xie	
The Dilemma between Deduplication and Locality: Can Both be Achieved?	Xiangyu Zou,Jingsong Yuan,Philip Shilane,Wen Xia,Haijun Zhang 0002,Xuan Wang 0002	
19th USENIX Conference on File and Storage Technologies, FAST 2021, February 23-25, 2021.	Marcos K. Aguilera,Gala Yadgar	
