PRISM: Rethinking the RDMA Interface for Distributed Systems.	Matthew Burke 0001,Sowmya Dharanipragada,Shannon Joyner,Adriana Szekeres,Jacob Nelson,Irene Zhang,Dan R. K. Ports	10.1145/3477132.3483587
Coeus: A System for Oblivious Document Ranking and Retrieval.	Ishtiyaque Ahmad,Laboni Sarker,Divyakant Agrawal,Amr El Abbadi,Trinabh Gupta	10.1145/3477132.3483586
Rudra: Finding Memory Safety Bugs in Rust at the Ecosystem Scale.	Yechan Bae,Youngsuk Kim,Ammar Askar,Jungwon Lim,Taesoo Kim	10.1145/3477132.3483570
Gradient Compression Supercharged High-Performance Data Parallel DNN Training.	Youhui Bai,Cheng Li 0001,Quan Zhou,Jun Yi,Ping Gong,Feng Yan 0001,Ruichuan Chen,Yinlong Xu	10.1145/3477132.3483553
Log-structured Protocols in Delos.	Mahesh Balakrishnan 0001,Chen Shen,Ahmed Jafri,Suyog Mapara,David Geraghty,Jason Flinn,Vidhya Venkat,Ivailo Nedelchev,Santosh Ghosh,Mihir Dharamshi,Jingming Liu,Filip Gruszczynski,Jun Li,Rounak Tibrewal,Ali Zaveri,Rajeev Nagar,Ahmed Yossef,Francois Richard,Yee Jiun Song	10.1145/3477132.3483544
Bladerunner: Stream Processing at Scale for a Live View of Backend Data Mutations at the Edge.	Jeff Barber,Ximing Yu,Laney Kuenzel Zamore,Jerry Lin,Vahid Jazayeri,Shie Erlich,Tony Savor,Michael Stumm	10.1145/3477132.3483572
Generating Complex, Realistic Cloud Workloads using Recurrent Neural Networks.	Shane Bergsma,Timothy Zeyl,Arik Senderovich,J. Christopher Beck	10.1145/3477132.3483590
Using Lightweight Formal Methods to Validate a Key-Value Storage Node in Amazon S3.	James Bornholt,Rajeev Joshi,Vytautas Astrauskas,Brendan Cully,Bernhard Kragl,Seth Markle,Kyle Sauri,Drew Schleit,Grant Slatton,Serdar Tasiran,Jacob Van Geffen,Andrew Warfield	10.1145/3477132.3483540
CLoF: A Compositional Lock Framework for Multi-level NUMA Systems.	Rafael Lourenco de Lima Chehab,Antonio Paolillo,Diogo Behrens,Ming Fu,Hermann Härtig,Haibo Chen 0001	10.1145/3477132.3483557
Forerunner: Constraint-based Speculative Transaction Execution for Ethereum.	Yang Chen,Zhongxin Guo,Runhuai Li,Shuo Chen 0001,Lidong Zhou,Yajin Zhou,Xian Zhang 0001	10.1145/3477132.3483564
Snoopy: Surpassing the Scalability Bottleneck of Oblivious Storage.	Emma Dauterman,Vivian Fang,Ioannis Demertzis,Natacha Crooks,Raluca Ada Popa	10.1145/3477132.3483562
When Idling is Ideal: Optimizing Tail-Latency for Heavy-Tailed Datacenter Workloads with Perséphone.	Henri Maxime Demoulin,Joshua Fried,Isaac Pedisich,Marios Kogias,Boon Thau Loo,Linh Thi Xuan Phan,Irene Zhang	10.1145/3477132.3483571
Witcher: Systematic Crash Consistency Testing for Non-Volatile Memory Key-Value Stores.	Xinwei Fu,Wook-Hee Kim,Ajay Paddayuru Shreepathi,Mohannad Ismail,Sunny Wadkar,Dongyoon Lee,Changwoo Min	10.1145/3477132.3483556
dSpace: Composable Abstractions for Smart Spaces.	Silvery Fu,Sylvia Ratnasamy	10.1145/3477132.3483559
Exploiting Nil-Externality for Fast Replicated Storage.	Aishwarya Ganesan,Ramnatthan Alagappan,Andrea C. Arpaci-Dusseau,Remzi H. Arpaci-Dusseau	10.1145/3477132.3483543
